"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"28","John Adams","Federalist","Secretary of the Navy","Benjamin Stoddert","Stoddert","1798-06-18","1801-03-03","","","","University of Pennsylvania","1","","","","","maj.","Revolutionary War","Army","1","0","0","0","nr","nr","No college is listed in Sobel et al.","","","","","","","","","",""
"29","John Adams","None, Federalist","Postmaster General","Joseph Habersham","Habersham","1797-03-04","1801-03-03","","","","Princeton University (grad.)","1","","","1","","col.","Revolutionary War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"30","Jefferson","Democratic-Republican","President","Thomas Jefferson","Jefferson","1801-03-04","1809-03-03","","","","College of William and Mary (grad.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"31","Jefferson","Democratic-Republican","Vice President","Aaron Burr","Burr","1801-03-04","1805-03-03","","1","Burr conspiracy","Princeton University (grad.)","1","","","1","","lt. col.","Revolutionary War","Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"32","Jefferson","Democratic-Republican","Vice President","George Clinton","Clinton","1805-03-04","1809-03-03","","","","read law","","","","1","","brig. gen.","Revolutionary War","Militia/National Guard","1","0","0","0","eo","eo","","","","","","","","","","",""
"33","Jefferson","Democratic-Republican","Secretary of State","James Madison","Madison","1801-05-02","1809-03-03","","","","Princeton University (BA)","2","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"34","Jefferson","Democratic-Republican","Secretary of the Treasury","Samuel Dexter","Dexter","1801-03-04","1801-05-06","","","","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"35","Jefferson","Democratic-Republican","Secretary of the Treasury","Albert Gallatin","Gallatin","1801-05-14","1809-03-03","","","","University of Geneva (grad.)","1","","","","","","","","1","1","0","0","nr","nr","","","","","","","","","","",""
"36","Jefferson","Democratic-Republican","Secretary of War","Henry Dearborn","Dearborn","1801-03-05","1809-02-17","","","","studied medicine independently","","","1","","","maj.; maj. gen.; maj. gen.","Revolutionary War; Revolutionary War; War of 1812","Army; Militia/National Guard; Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"37","Jefferson","Democratic-Republican","Attorney General","Levi Lincoln","Lincoln","1801-03-05","1804-12-31","","","","Harvard University (BA)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"38","Jefferson","Democratic-Republican","Attorney General","Robert Smith","Smith","1805-03-02","1805-08-07","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"39","Jefferson","Democratic-Republican","Attorney General","John Breckinridge","Breckinridge","1805-08-07","1806-12-14","","","","Washington and Lee University; College of William and Mary","","","","1","","","","","1","0","0","1","nr","nr","","","","","","","","","","",""
"40","Jefferson","Democratic-Republican","Attorney General","Caesar A. Rodney","Rodney","1807-01-20","1809-03-03","","","","University of Pennsylvania (grad.)","1","","","1","","capt.","1813-1814","Militia/National Guard","1","0","0","0","nr","nr","","","","","","","","","","",""
"41","Jefferson","Democratic-Republican","Secretary of the Navy","Benjamin Stoddert","Stoddert","1801-03-04","1801-04-01","","","","University of Pennsylvania","1","","","","","maj.","Revolutionary War","Army","1","0","0","0","pa","pa","No college is listed in Sobel et al.","","","","","","","","","",""
"42","Jefferson","Democratic-Republican","Secretary of the Navy","Robert Smith","Smith","1801-07-27","1809-03-08","","","","Princeton University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
