"Key","Administration","Party","Department","Name","LastName","ServiceStart","ServiceEnd","DeptScandalFlag","ScandalFlag","ScandalDesc","EduDesc","Bachelors","Masters","MD","Law","Doctorate","MilitaryService","MilitaryDatesServed","MilitaryBranch","Gender","ForeignBorn","Minority","DiedOffice","SenateVotesFor","SenateVotesAgainst","NotesDiscrepancies","","","","","","","","","",""
"206","Buchanan","Democrat","Secretary of the Treasury","Howell Cobb","Cobb","1857-03-06","1860-12-10","","","","University of Georgia (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"207","Buchanan","Democrat","Secretary of the Treasury","Philip F. Thomas","Thomas","1860-12-12","1861-01-11","","","","Dickinson College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"208","Buchanan","Democrat","Secretary of the Treasury","John A. Dix","Dix","1861-01-15","1861-03-03","","","","read law","","","","1","","maj.; maj. gen.","War of 1812; Civil War","Army;Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"209","Buchanan","Democrat","Secretary of War","John B. Floyd","Floyd","1857-03-06","1861-01-01","","","","South Carolina College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"210","Buchanan","Democrat","Secretary of War","Joseph Holt","Holt","1861-01-01","1861-03-03","","","","St. Joesph's College; Centre College","","","","1","","","","","1","0","0","0","38","13","","","","","","","","","","",""
"211","Buchanan","Democrat","Attorney General","Jeremiah S. Black","Black","1857-03-11","1860-12-20","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"212","Buchanan","Democrat","Attorney General","Edwin M. Stanton","Stanton","1860-12-22","1861-03-03","","","","Kenyon College","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"213","Buchanan","Democrat","Postmaster General","Aaron V. Brown","Brown","1857-03-06","1859-03-08","","","","University of North Carolina (grad.)","1","","","1","","","","","1","0","0","1","nr","nr","","","","","","","","","","",""
"214","Buchanan","Democrat","Postmaster General","Joseph Holt","Holt","1859-03-14","1861-01-01","","","","St. Joesph's College; Centre College","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"215","Buchanan","Democrat","Postmaster General","Horatio King","King","1861-01-01","1861-03-03","","","","no college","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"216","Buchanan","Democrat","Secretary of the Navy","Isaac Toucey","Toucey","1857-03-06","1861-03-03","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"217","Buchanan","Democrat","Secretary of the Interior","Jacob Thompson","Thompson","1857-03-10","1861-01-08","","","","University of North Carolina (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"218","Lincoln","Republican","President","Abraham Lincoln","Lincoln","1861-03-04","1865-04-15","","","","read law","","","","1","","capt.","1832","Militia/National Guard","1","0","0","0","eo","eo","","","","","","","","","","",""
"219","Lincoln","Republican","Vice President","Hannibal Hamlin","Hamlin","1861-03-04","1865-03-03","","","","read law","","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"220","Lincoln","Republican","Vice President","Andrew Johnson","Johnson","1865-03-04","1865-04-15","","1","Impeached for violating the Tenure of Office Act","no college","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"221","Lincoln","Republican","Secretary of State","William H. Seward","Seward","1861-03-05","1865-04-15","","","","Union College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"222","Lincoln","Republican","Secretary of the Treasury","Salmon P. Chase","Chase","1861-03-07","1864-07-01","","","","Dartmouth College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"223","Lincoln","Republican","Secretary of the Treasury","William P. Fessenden","Fessenden","1864-07-05","1865-03-03","","","","Bowdoin College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"224","Lincoln","Republican","Secretary of the Treasury","Hugh McCulloch","McCulloch","1865-03-09","1865-04-15","","","","Bowdoin College","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"225","Lincoln","Republican","Secretary of War","Simon Cameron","Cameron","1861-03-11","1862-01-15","","1","Corruption","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"226","Lincoln","Republican","Secretary of War","Edwin M. Stanton","Stanton","1862-01-20","1865-04-15","","","","Kenyon College","","","","1","","","","","1","0","0","0","38","2","","","","","","","","","","",""
"227","Lincoln","Republican","Attorney General","Edward Bates","Bates","1861-03-05","1864-12-02","","","","read law","","","","1","","sgt.","War of 1812","Army","1","0","0","0","40","5","","","","","","","","","","",""
"228","Lincoln","Republican","Attorney General","James Speed","Speed","1864-12-05","1865-04-15","","","","St. Joseph's College; Transylvania University","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"229","Lincoln","Republican","Postmaster General","Montgomery Blair","Blair","1861-03-09","1864-09-24","","","","United States Military Academy (grad.)","1","","","1","","lt.","1835-1836","Army","1","0","0","0","41","4","","","","","","","","","","",""
"230","Lincoln","Republican","Postmaster General","William Dennison","Dennison","1864-10-01","1865-04-15","","","","Miami University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"231","Lincoln","Republican","Secretary of the Navy","Gideon Welles","Welles","1861-03-07","1865-04-15","","","","American Academy, Norwich","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"232","Lincoln","Republican","Secretary of the Interior","Caleb B. Smith","Smith","1861-03-05","1863-01-01","","","","Cincinnati College; Miami University","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"233","Lincoln","Republican","Secretary of the Interior","John P. Usher","Usher","1863-01-01","1865-04-15","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"234","Andrew Johnson","National Union","President","Andrew Johnson","Johnson","1865-04-15","1869-03-03","","","","no college","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"235","Andrew Johnson","National Union","Secretary of State","William H. Seward","Seward","1865-04-15","1869-03-03","","","","Union College (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"236","Andrew Johnson","National Union","Secretary of the Treasury","Hugh McCulloch","McCulloch","1865-04-15","1869-03-03","","","","Bowdoin College","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"237","Andrew Johnson","National Union","Secretary of War","Edwin M. Stanton","Stanton","1865-04-15","1867-08-12","","","","Kenyon College","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"238","Andrew Johnson","National Union","Secretary of War","Ulysses S. Grant","Grant","1867-08-12","1868-02-21","","","","United States Military Academy (grad.)","1","","","","","general of the army; general of the army","1843-1854; 1861-1867","Army; Army","1","0","0","0","acting","acting","Never confirmed by the Senate","","","","","","","","","",""
"239","Andrew Johnson","National Union","Secretary of War","Lorenzo Thomas","Thomas","1868-02-21","1868-05-28","","","","United States Military Academy (grad.)","1","","","","","bvt. maj. gen.","Civil War","Army","1","0","0","0","acting","acting","","","","","","","","","","",""
"240","Andrew Johnson","National Union","Secretary of War","John M. Schofield","Schofield","1868-05-28","1869-03-03","","","","United States Military Academy (grad.)","1","","","","","maj. gen.","Civil War","Army","1","0","0","0","35","2","","","","","","","","","","",""
"241","Andrew Johnson","National Union","Attorney General","James Speed","Speed","1865-04-15","1866-07-17","","","","St. Joseph's College; Transylvania University","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"242","Andrew Johnson","National Union","Attorney General","Henry Stanbery","Stanbery","1866-07-23","1868-03-13","","","","Washington & Jefferson College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"243","Andrew Johnson","National Union","Attorney General","William M. Evarts","Evarts","1868-07-20","1869-03-03","","","","Yale University (BA, MA); Harvard University Law School","1","1","","1","","","","","1","0","0","0","27","7","Difficult to find evidence of MA listed in Sobel et al.","","","","","","","","","",""
"244","Andrew Johnson","National Union","Postmaster General","William Dennison","Dennison","1865-04-15","1866-07-17","","","","Miami University (grad.)","1","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"245","Andrew Johnson","National Union","Postmaster General","Alexander W. Randall","Randall","1866-07-17","1869-03-03","","","","read law","","","","1","","","","","1","0","0","0","35","5","","","","","","","","","","",""
"246","Andrew Johnson","National Union","Secretary of the Navy","Gideon Welles","Welles","1865-04-15","1869-03-03","","","","American Academy, Norwich","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"247","Andrew Johnson","National Union","Secretary of the Interior","John P. Usher","Usher","1865-04-15","1865-05-15","","","","read law","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"248","Andrew Johnson","National Union","Secretary of the Interior","James Harlan","Harlan","2865-05-15","1866-07-27","","","","Indiana Asbury University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"249","Andrew Johnson","National Union","Secretary of the Interior","Orville H. Browning","Browning","1866-09-01","1869-03-03","","","","Augusta College","1","","","1","","n.a.","1832","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"250","Grant","Republican","President","Ulysses S. Grant","Grant","1869-03-04","1877-03-03","","","","United States Military Academy (grad.)","1","","","","","general of the army; general of the army","1843-1854; 1861-1867","Army; Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"251","Grant","Republican","Vice President","Schuyler Colfax","Colfax","1869-03-04","1873-03-03","","","","no college","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"252","Grant","Republican","Vice President","Henry Wilson","Wilson","1873-03-04","1877-03-03","","","","no college","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"253","Grant","Republican","Secretary of State","Elihu B. Washburne","Washburne","1869-03-05","1869-03-16","","","","Harvard University Law School","","","","1","","","","","1","0","0","0","nr","nr","Harvard not listed in Sobel et al.","","","","","","","","","",""
"254","Grant","Republican","Secretary of State","Hamilton Fish","Fish","1869-03-17","1877-03-03","","","","Columbia University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"255","Grant","Republican","Secretary of the Treasury","George S. Boutwell","Boutwell","1869-03-11","1873-03-03","1","","Whiskey Ring","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"256","Grant","Republican","Secretary of the Treasury","William A. Richardson","Richardson","1873-03-17","1874-06-02","1","1","Whiskey Ring, Sanborn contract","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"257","Grant","Republican","Secretary of the Treasury","Benjamin H. Bristow","Bristow","1874-06-02","1876-06-21","1","","Whiskey Ring","Jefferson College (grad.)","1","","","1","","maj. gen.","Civil War","Army","1","0","0","0","27","20","","","","","","","","","","",""
"258","Grant","Republican","Secretary of the Treasury","Lot M. Morrill","Morrill","1876-06-21","1877-03-03","1","","Whiskey Ring","Colby College","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"259","Grant","Republican","Secretary of War","John A. Rawlins","Rawlins","1869-03-11","1869-09-09","","","","read law","","","","1","","maj. gen.","Civil War","Army","1","0","0","1","nr","nr","","","","","","","","","","",""
"260","Grant","Republican","Secretary of War","William T. Sherman","Sherman","1969-09-09","1869-10-25","","","","United States Military Academy (grad.)","1","","","","","maj. gen.; General of the Army of the United States","Civil War; 1869-1883","Army; Army","1","0","0","0","acting","acting","","","","","","","","","","",""
"261","Grant","Republican","Secretary of War","William W. Belknap","Belknap","1969-10-25","1876-03-02","","1","Bribery","Princeton University (BA)","1","","","1","","brig. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"262","Grant","Republican","Secretary of War","Alphonso Taft","Taft","1876-03-08","1876-05-22","","","","Yale University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"263","Grant","Republican","Secretary of War","James D. Cameron","Cameron","1876-05-22","1877-03-03","","","","Princeton University (grad.)","1","1","","","","","","","1","0","0","0","nr","nr","MA per New York Times (May 23, 1876), The Presidency","","","","","","","","","",""
"264","Grant","Republican","Attorney General","Ebenezer R. Hoar","Hoar","1869-03-05","1870-06-23","","","","Harvard University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"265","Grant","Republican","Attorney General","Amos T. Akerman","Akerman","1870-06-23","1871-12-14","","","","Dartmouth College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"266","Grant","Republican","Attorney General","George H. Williams","Williams","1871-12-14","1875-04-26","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"267","Grant","Republican","Attorney General","Edwards Pierrepont","Pierrepont","1875-04-26","1876-05-22","","","","Yale University (grad.); New Haven Law School","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"268","Grant","Republican","Attorney General","Alphonso Taft","Taft","1876-05-22","1877-03-03","","","","Yale University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"269","Grant","Republican","Postmaster General","John A. J. Creswell","Creswell","1869-03-05","1874-07-03","","","","Dickinson College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"270","Grant","Republican","Postmaster General","Marshall Jewell","Jewell","1874-07-03","1874-08-25","","","","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"271","Grant","Republican","Postmaster General","James N. Tyner","Tyner","1876-07-12","1877-03-03","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"272","Grant","Republican","Secretary of the Navy","Adolph E. Borie","Borie","1869-03-05","1869-06-25","","","","University of Pennsylvania (grad.)","1","","","","","","","","1","0","0","0","nr","nr","Referred to as Boric rather than Borie in Sobel et al.","","","","","","","","","",""
"273","Grant","Republican","Secretary of the Navy","George M. Robeson","Robeson","1869-06-25","1877-03-03","","1","Gross misconduct and corruption","Princeton University (grad.)","1","","","1","","brig. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"274","Grant","Republican","Secretary of the Interior","Jacob D. Cox","Cox","1869-03-05","1870-11-01","","","","Oberlin College (grad.)","1","","","1","","maj. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"275","Grant","Republican","Secretary of the Interior","Columbus Delano","Delano","1870-11-01","1875-10-19","","1","Allegedly taking bribes","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"276","Grant","Republican","Secretary of the Interior","Zachariah Chandler","Chandler","1875-10-19","1877-03-03","","","","no college","","","","","","","","","1","0","0","0","37","8","","","","","","","","","","",""
"277","Hayes","Republican","President","Rutherford B. Hayes","Hayes","1877-03-04","1881-03-03","","","","Kenyon College (BA); Harvard University Law School (LLB)","1","","","1","","maj. gen.","Civil War","Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"278","Hayes","Republican","Vice President","William A. Wheeler","Wheeler","1877-03-04","1881-03-03","","","","University of Vermont","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"279","Hayes","Republican","Secretary of State","William M. Evarts","Evarts","1877-03-12","1881-03-03","","","","Yale University (BA, MA); Harvard University Law School","1","1","","1","","","","","1","0","0","0","44","2","Difficult to find evidence of MA listed in Sobel et al.","","","","","","","","","",""
"280","Hayes","Republican","Secretary of the Treasury","John Sherman","Sherman","1877-03-12","1881-03-03","","","","Kenyon College; read law","","","","1","","","","","1","0","0","0","37","11","","","","","","","","","","",""
"281","Hayes","Republican","Secretary of War","George W. McCrary","McCrary","1877-03-12","1879-12-10","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"282","Hayes","Republican","Secretary of War","Alexander Ramsey","Ramsey","1879-12-10","1881-03-03","","","","Lafayette College","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"283","Hayes","Republican","Attorney General","Charles Devens","Devens","1877-03-12","1881-03-03","","","","Harvard University (grad.)","1","","","1","","maj. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"284","Hayes","Republican","Postmaster General","David M. Key","Key","1877-03-12","1880-06-02","","","","Hiwassee College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"285","Hayes","Republican","Postmaster General","Horace Maynard","Maynard","1880-06-02","1881-03-03","","","","Amherst College (grad.)","1","","","","","","","","1","0","0","0","27","14","","","","","","","","","","",""
"286","Hayes","Republican","Secretary of the Navy","Richard W. Thompson","Thompson","1877-03-12","1881-01-06","","","","read law","","","","1","","camp cmdr.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"287","Hayes","Republican","Secretary of the Navy","Nathan Goff Jr.","Goff","1881-01-06","1881-03-03","","","","Georgetown University; City University of New York (law deg.)","","","","1","","maj.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"288","Hayes","Republican","Secretary of the Interior","Carl Schurz","Schurz","1877-03-12","1881-03-03","1","","Rampant corruption","University of Bonn (BA)","","","","","","maj. gen.","Civil War","Army","1","0","0","0","35","2","","","","","","","","","","",""
"289","Garfield","Republican","President","James A. Garfield","Garfield","1881-03-04","1881-09-19","","","","Hiram College; Williams College (grad.)","1","","","","","maj. gen.","1861-1870","Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"290","Garfield","Republican","Vice President","Chester A. Arthur","Arthur","1881-03-05","1881-09-19","","","","Union College (BA); State and National Law School","1","","","1","","brig. gen.","1857-1862","Militia/National Guard","1","0","0","0","eo","eo","","","","","","","","","","",""
"291","Garfield","Republican","Secretary of State","James G. Blaine","Blaine","1881-03-05","1881-09-19","","","","Washington & Jefferson College (grad.)","1","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"292","Garfield","Republican","Secretary of the Treasury","William Windom","Windom","1881-03-05","1881-09-19","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"293","Garfield","Republican","Secretary of War","Robert T. Lincoln","Lincoln","1881-03-05","1881-09-19","","","","Harvard University (grad.); Union College of Law","1","","","1","","capt.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"294","Garfield","Republican","Attorney General","Wayne MacVeagh","MacVeagh","1881-03-05","1881-09-19","","","","Yale University (grad.)","1","","","1","","capt.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"295","Garfield","Republican","Postmaster General","Thomas L. James","James","1881-03-05","1881-09-19","","","","Hamilton College","1","","","","","","","","1","0","0","0","nr","nr","Hamilton College not in Sobel et al.","","","","","","","","","",""
"296","Garfield","Republican","Secretary of the Navy","William H. Hunt","Hunt","1881-03-05","1881-09-19","","","","Yale University","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"297","Garfield","Republican","Secretary of the Interior","Samuel J. Kirkwood","Kirkwood","1881-03-05","1881-09-19","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"298","Arthur","Republican","President","Chester A. Arthur","Arthur","1881-09-20","1885-03-03","","","","Union College (BA); State and National Law School","1","","","1","","brig. gen.","1857-1862","Militia/National Guard","1","0","0","0","eo","eo","","","","","","","","","","",""
"299","Arthur","Republican","Secretary of State","James G. Blaine","Blaine","1881-09-19","1881-12-19","","","","Washington & Jefferson College (grad.)","1","","","","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"300","Arthur","Republican","Secretary of State","F. T. Frelinghuysen","Frelinghuysen","1881-12-19","1885-03-03","","","","Rutgers University (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"301","Arthur","Republican","Secretary of the Treasury","William Windom","Windom","1881-09-19","1881-10-27","","","","read law","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"302","Arthur","Republican","Secretary of the Treasury","Charles J. Folger","Folger","1881-10-27","1884-09-24","","","","Hobart College (grad.)","1","","","1","","","","","1","0","0","1","nr","nr","","","","","","","","","","",""
"303","Arthur","Republican","Secretary of the Treasury","Walter Q. Gresham","Gresham","1884-09-24","1884-10-28","","","","Indiana University, Bloomington","","","","1","","maj. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"304","Arthur","Republican","Secretary of the Treasury","Hugh McCulloch","McCulloch","1884-10-28","1885-03-03","","","","Bowdoin College","","","","1","","","","","1","0","0","0","50","1","","","","","","","","","","",""
"305","Arthur","Republican","Secretary of War","Robert T. Lincoln","Lincoln","1881-09-19","1885-03-03","","","","Harvard University; Union College of Law","1","","","1","","capt.","Civil War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"306","Arthur","Republican","Attorney General","Wayne MacVeagh","MacVeagh","1881-09-19","1881-12-19","","","","Yale University (grad.)","1","","","1","","capt.","Civil War","Army","1","0","0","0","pa","pa","","","","","","","","","","",""
"307","Arthur","Republican","Attorney General","Benjamin H. Brewster","Brewster","1881-12-19","1885-03-03","","","","Princeton University (AB, AM, LLD)","1","1","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"308","Arthur","Republican","Postmaster General","Thomas L. James","James","1881-09-19","1881-12-20","","","","Hamilton College","1","","","","","","","","1","0","0","0","pa","pa","Hamilton College not in Sobel et al.","","","","","","","","","",""
"309","Arthur","Republican","Postmaster General","Timothy O. Howe","Howe","1881-12-20","1883-04-03","","","","Maine Wesleyan Seminary","","","","1","","","","","1","0","0","1","nr","nr","Date of Death 3/25/1883 per Grossman","","","","","","","","","",""
"310","Arthur","Republican","Postmaster General","Walter Q. Gresham","Gresham","1883-04-03","1884-10-14","1","","Forgery","Indiana University, Bloomington","","","","1","","maj. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"311","Arthur","Republican","Postmaster General","Frank Hatton","Hatton","1884-10-14","1885-03-03","","","","no college","","","","","","1st lt.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"312","Arthur","Republican","Secretary of the Navy","William H. Hunt","Hunt","1881-09-19","1882-04-12","","","","Yale University","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"313","Arthur","Republican","Secretary of the Navy","William E. Chandler","Chandler","1882-04-12","1885-03-03","","","","Harvard University Law School (law deg.)","","","","1","","","","","1","0","0","0","28","16","","","","","","","","","","",""
"314","Arthur","Republican","Secretary of the Interior","Samuel J. Kirkwood","Kirkwood","1881-09-19","1882-04-06","","","","read law","","","","1","","","","","1","0","0","0","pa","pa","","","","","","","","","","",""
"315","Arthur","Republican","Secretary of the Interior","Henry M. Teller","Teller","1882-04-06","1885-03-03","","","","Alfred University (grad.)","1","","","1","","maj. gen.","Civil War","Militia/National Guard","1","0","0","0","nr","nr","","","","","","","","","","",""
"316","First Cleveland","Democrat","President","Grover Cleveland","Cleveland","1885-03-04","1889-03-03","","","","read law","","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"317","First Cleveland","Democrat","Vice President","Thomas A. Hendricks","Hendricks","1885-03-04","1889-03-03","","","","Hanover College (grad.)","1","","","1","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"318","First Cleveland","Democrat","Secretary of State","Thomas F. Bayard","Bayard","1885-03-06","1889-03-03","","","","read law","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"319","First Cleveland","Democrat","Secretary of the Treasury","Daniel Manning","Manning","1885-03-06","1887-04-01","","","","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"320","First Cleveland","Democrat","Secretary of the Treasury","Charles S. Fairchild","Fairchild","1887-04-01","1889-03-03","","","","Harvard University (grad.); Harvard University Law School (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"321","First Cleveland","Democrat","Secretary of War","William C. Endicott","Endicott","1885-03-06","1889-03-03","","","","Harvard University (grad.); Harvard University Law School","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"322","First Cleveland","Democrat","Attorney General","Augustus H. Garland","Garland","1885-03-06","1889-03-03","","","","St. Mary's College; St. Joseph's College (grad.)","1","","","1","","","","","1","0","0","0","nr","nr","St Joseph's not listed in Sobel et al., but confirmed at National Governors Association","","","","","","","","","",""
"323","First Cleveland","Democrat","Postmaster General","William F. Vilas","Vilas","1885-03-06","1888-01-16","","","","University of Wisconsin, Madison (grad.); University at Albany (grad.)","1","","","1","","lt. col.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"324","First Cleveland","Democrat","Postmaster General","Don M. Dickinson","Dickinson","1888-01-16","1889-03-03","","","","University of Michigan Law School (law deg.)","","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"325","First Cleveland","Democrat","Secretary of the Navy","William C. Whitney","Whitney","1885-03-06","1889-03-03","","","","Yale University (grad.); Harvard University Law School","1","","","1","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"326","First Cleveland","Democrat","Secretary of the Interior","Lucius Q. C. Lamar","Lamar","1885-03-06","1888-01-16","","","","Emory University (BA)","1","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"327","First Cleveland","Democrat","Secretary of the Interior","William F. Vilas","Vilas","1888-01-16","1889-03-03","","","","University of Wisconsin, Madison (grad.); University at Albany (grad.)","1","","","1","","lt. col.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"328","First Cleveland","Democrat","Secretary of Agriculture","Norman J. Colman","Colman","1889-02-09","1889-03-03","","","","University of Louisville (LLB)","","","","1","","lt. col.","Civil War","Militia/National Guard","1","0","0","0","nr","nr","","","","","","","","","","",""
"329","Benjamin Harrison","Republican","President","Benjamin Harrison","Harrison","1889-03-04","1893-03-03","","","","Farmer's College; Miami University (BA)","1","","","","","brig. gen.","Civil War","Army","1","0","0","0","eo","eo","","","","","","","","","","",""
"330","Benjamin Harrison","Republican","Vice President","Levi P. Morton","Morton","1889-03-04","1893-03-03","","","","no college","","","","","","","","","1","0","0","0","eo","eo","","","","","","","","","","",""
"331","Benjamin Harrison","Republican","Secretary of State","James G. Blaine","Blaine","1889-03-05","1892-06-04","","","","Washington & Jefferson College (grad.)","1","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"332","Benjamin Harrison","Republican","Secretary of State","John W. Foster","Foster","1892-06-29","1893-03-03","","","","Indiana University (grad.); Harvard University","1","","","1","","brig. gen.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"333","Benjamin Harrison","Republican","Secretary of the Treasury","William Windom","Windom","1889-03-05","1891-02-24","","","","","","","","1","","","","","1","0","0","1","nr","nr","Date of death 1/29/1891 per Grossman","","","","","","","","","",""
"334","Benjamin Harrison","Republican","Secretary of the Treasury","Charles Foster","Foster","1891-02-24","1893-03-03","","","","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
"335","Benjamin Harrison","Republican","Secretary of War","Redfield Proctor","Proctor","1889-03-05","1891-12-22","","","","Dartmouth College (grad.); Albany Law School (grad.)","1","1","","1","","col.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"336","Benjamin Harrison","Republican","Secretary of War","Stephen B. Elkins","Elkins","1891-12-22","1893-03-03","","","","Masonic College; University of Missouri (BA, MA)","1","1","","","","capt.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"337","Benjamin Harrison","Republican","Attorney General","William H. H. Miller","Miller","1889-03-05","1893-03-03","","","","Hamilton College (grad.)","1","","","1","","2d lt.","Civil War","Army","1","0","0","0","nr","nr","","","","","","","","","","",""
"338","Benjamin Harrison","Republican","Postmaster General","John Wanamaker","Wanamaker","1889-03-05","1893-03-03","","","","no college","","","","","","","","","1","0","0","0","nr","nr","","","","","","","","","","",""
